month,crossingType,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Nov,Truck Containers Loaded,,,,,,,,,,,,,,,,-100,,,,,
Nov,Trucks,,,,-100,,,,,,,,-100,,,,-100,,,,,
Dec,Bus Passengers,,,,,,,,,,-100,,,,,,,,,,,
Dec,Buses,,,,,,,,,,-100,,,,,,,,,,,
Dec,Pedestrians,,,,,,,,,,,,,,,,,,,,-83.333333,-100
Dec,Personal Vehicle Passengers,,-25.806452,-100,,27.196653,39.309211,9.799292,-0.322581,-13.376483,-6.475716,-32.356858,7.677165,-2.925046,-10.169492,24.528302,-97.643098,1928.571429,29.929577,98.102981,2.599179,-100
Dec,Personal Vehicles,,-10.11236,-100,,27.196653,30.592105,58.438287,-32.114467,3.981265,-18.018018,-30.494505,27.667984,-25.077399,-11.157025,18.139535,-95.669291,1227.272727,15.068493,85.119048,-2.250804,-100
Dec,Rail Containers Empty,,,,,,,,,,,,,,,,,,,,,
Dec,Rail Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Dec,Total People,,-21.24183,-100,,27.196653,36.403509,25.321543,-13.149455,-5.760709,-12.617555,-31.748879,14.323259,-11.149425,-10.478655,22.543353,-97.051887,1620,24.883721,96.275605,0.189753,-100
Dec,Total Vehicles,,-100,,0,100,-100,,,,-100,,,,,,,,,,,-100
Dec,Train Passengers,,,,,,,,,,,,,,,,,,,,,
Dec,Trains,,,,,,,,,,,,,,,,,,,,,
Dec,Truck Containers Empty,,,,,,,,,,,,,,,,,,,,,-100
Dec,Truck Containers Loaded,,,,,,,,,,,,,,,,,,,,,
Dec,Trucks,,-100,,0,100,-100,,,,,,,,,,,,,,,-100
