month,crossingType,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Sep,Personal Vehicle Passengers,,0,4377,-1065,654,-3966,3396,542,73,247,-425,-630,-597,521,142,-919,-29,-2178,249,1308,672,215,-995
Sep,Personal Vehicles,,983,476,197,327,-1983,1698,271,566,-463,-201,-225,-349,318,-78,-387,7,-1048,151,662,296,113,-505
Sep,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Total People,,983,4853,-845,980,-5971,5094,813,639,-216,-626,-855,-783,772,-32,-1306,-22,-3223,397,2012,926,328,-1500
Sep,Total Vehicles,,474,262,-188,-83,-241,206,170,234,-441,-186,-101,49,-12,68,57,157,-195,28,-177,40,35,-76
Sep,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sep,Truck Containers Empty,,3,16,2,-1,8,12,-12,21,-44,-5,0,0,0,,2,0,6,-5,2,3,5,-14
Sep,Truck Containers Loaded,,248,101,-100,-37,-16,-21,97,96,-175,-193,0,0,0,,32,92,-127,21,-96,25,12,-34
Sep,Trucks,,223,145,-91,-45,-232,215,85,117,-222,12,-102,45,-9,-54,23,65,-74,12,-84,13,18,-28
Oct,Bus Passengers,,0,0,9,-9,47,57,-104,0,0,0,0,0,0,15,-15,,,,,,,
Oct,Buses,,0,0,1,-1,1,0,-1,0,0,0,2,-2,0,1,-1,,,,,,,
Oct,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-4,,-1,,
Oct,Personal Vehicle Passengers,,3027,-36,-1037,1420,-1004,72,864,292,-331,210,-543,-766,-202,65,-214,7,-1679,125,1260,105,293,-570
Oct,Personal Vehicles,,971,26,-20,710,-502,36,432,-66,-56,75,-166,-391,-42,-64,-47,5,-809,89,618,30,178,-317
Oct,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Total People,,3998,-10,-1048,2121,-1459,165,1192,226,-387,285,-709,-1157,-244,16,-276,12,-2484,210,1879,134,471,-887
Oct,Total Vehicles,,480,-138,30,128,-209,-40,180,67,-209,-182,-12,-32,79,225,-263,16,69,258,-409,-35,82,-38
Oct,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Oct,Truck Containers Empty,,2,21,-7,13,-2,-5,4,33,-53,-6,0,0,0,,6,-8,,6,-12,-1,,-1
Oct,Truck Containers Loaded,,243,-95,22,51,-103,-15,87,0,-53,-137,0,0,0,,-176,19,26,160,-225,-22,26,-23
Oct,Trucks,,235,-64,14,65,-105,-20,90,34,-103,-39,-14,-30,79,2,-92,5,36,92,-172,-12,35,-14
Nov,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-26,,
Nov,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1,,
Nov,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Personal Vehicle Passengers,,2669,-314,-635,1204,-2924,2290,65,567,-149,316,-1075,-158,164,-420,-241,8,-1267,691,196,571,-190,-323
Nov,Personal Vehicles,,915,-130,70,607,-1462,1145,33,107,-106,156,-407,-64,153,-295,-80,-3,-568,381,47,249,-32,-210
Nov,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Total People,,3584,-444,-565,1811,-4386,3435,98,674,-255,472,-1482,-222,317,-715,-321,5,-1835,1072,269,794,-222,-533
Nov,Total Vehicles,,241,115,133,-185,-160,194,-80,65,-179,-61,0,37,-45,116,-16,-81,28,5,-109,8,56,-61
Nov,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nov,Truck Containers Empty,,0,16,-2,1,-2,6,-3,3,-11,-8,0,0,0,,,1,2,2,-6,,,-10
Nov,Truck Containers Loaded,,121,41,72,-97,-6,19,-37,29,-78,-64,0,0,0,,-7,-47,12,5,-51,6,19,-26
Nov,Trucks,,120,58,63,-89,-152,169,-40,33,-90,11,0,37,-45,17,-10,-35,14,-2,-53,3,24,-25
Dec,Bus Passengers,,52,57,-109,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dec,Buses,,2,1,-3,0,0,0,0,0,0,0,1,-1,0,0,,,,,,,,
Dec,Pedestrians,,1,-1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
